CLR,PD_0,NONE,SBUS,PD_ALU,PM_MDR,NONE,NONE,IF_RD_D,NONE,1,MEM_RESULT
,PD_MDR_SBUS,NONE,SBUS,PD_ALU,PM_GPR,NONE,NONE,IF_INT,NONE,0,INT
,NONE,NONE,NONE,NONE,NONE,NONE,NONE,JUMP,NONE,0,IFCH
,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,0,NONE
NEG,PD_NOT_MDR,NONE,SBUS,PD_ALU,PM_MDR,NONE,PD_COND,IF_RD_D,NONE,1,MEM_RESULT
,PD_MDR_SBUS,NONE,SBUS,PD_ALU,PM_GPR,NONE,NONE,IF_INT,NONE,0,INT
,NONE,NONE,NONE,NONE,NONE,NONE,NONE,JUMP,NONE,0,IFCH
,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,0,NONE
INC,PD_MDR_SBUS,PD_1,SUM,PD_ALU,PM_MDR,NONE,PD_COND,IF_RD_D,NONE,1,MEM_RESULT
,PD_MDR_SBUS,NONE,SBUS,PD_ALU,PM_GPR,NONE,NONE,IF_INT,NONE,0,INT
,NONE,NONE,NONE,NONE,NONE,NONE,NONE,JUMP,NONE,0,IFCH
,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,0,NONE
DEC,PD_MDR_SBUS,PD_MINUS_1,SUM,PD_ALU,PM_MDR,NONE,PD_COND,IF_RD_D,NONE,1,MEM_RESULT
,PD_MDR_SBUS,NONE,SBUS,PD_ALU,PM_GPR,NONE,NONE,IF_INT,NONE,0,INT
,NONE,NONE,NONE,NONE,NONE,NONE,NONE,JUMP,NONE,0,IFCH
,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,0,NONE
ASL,NONE,NONE,NONE,NONE,NONE,NONE,ASL_AND_PD_COND,IF_RD_D,NONE,1,MEM_RESULT
,PD_MDR_SBUS,NONE,SBUS,PD_ALU,PM_GPR,NONE,NONE,IF_INT,NONE,0,INT
,NONE,NONE,NONE,NONE,NONE,NONE,NONE,JUMP,NONE,0,IFCH
,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,0,NONE
ASR,NONE,NONE,NONE,NONE,NONE,NONE,ASR_AND_PD_COND,IF_RD_D,NONE,1,MEM_RESULT
,PD_MDR_SBUS,NONE,SBUS,PD_ALU,PM_GPR,NONE,NONE,IF_INT,NONE,0,INT
,NONE,NONE,NONE,NONE,NONE,NONE,NONE,JUMP,NONE,0,IFCH
,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,0,NONE
LSR,NONE,NONE,NONE,NONE,NONE,NONE,LSR_AND_PD_COND,IF_RD_D,NONE,1,MEM_RESULT
,PD_MDR_SBUS,NONE,SBUS,PD_ALU,PM_GPR,NONE,NONE,IF_INT,NONE,0,INT
,NONE,NONE,NONE,NONE,NONE,NONE,NONE,JUMP,NONE,0,IFCH
,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,0,NONE
ROL,NONE,NONE,NONE,NONE,NONE,NONE,ROL_AND_PD_COND,IF_RD_D,NONE,1,MEM_RESULT
,PD_MDR_SBUS,NONE,SBUS,PD_ALU,PM_GPR,NONE,NONE,IF_INT,NONE,0,INT
,NONE,NONE,NONE,NONE,NONE,NONE,NONE,JUMP,NONE,0,IFCH
,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,0,NONE
ROR,NONE,NONE,NONE,NONE,NONE,NONE,ROR_AND_PD_COND,IF_RD_D,NONE,1,MEM_RESULT
,PD_MDR_SBUS,NONE,SBUS,PD_ALU,PM_GPR,NONE,NONE,IF_INT,NONE,0,INT
,NONE,NONE,NONE,NONE,NONE,NONE,NONE,JUMP,NONE,0,IFCH
,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,0,NONE
RLC,NONE,NONE,NONE,NONE,NONE,NONE,RLC_AND_PD_COND,IF_RD_D,NONE,1,MEM_RESULT
,PD_MDR_SBUS,NONE,SBUS,PD_ALU,PM_GPR,NONE,NONE,IF_INT,NONE,0,INT
,NONE,NONE,NONE,NONE,NONE,NONE,NONE,JUMP,NONE,0,IFCH
,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,0,NONE
